&About ...	&Относно ...
Support Visual Styles on Windows XP	Поддръжка на визуални стилове при Windows XP
System will return to the standard Windows (c) behavior.	 поведение
The profiles will appear in the disabled state. You will need to go to the 'Profiles' dialog to enable it.	Профилите ще се появят в изключено състояние Ще трябва да отидете в прозореца "Профили", за да ги включите.
The required message hook notifications are missing. Try to reboot Windows!	Необходимите прихващачи на съобщения липсват. Опитайте да рестартирате Windows!
Title Filtering	Филтриране на заглавията
Toggle Profile	Промяна на профила
Toggle Tray Icons	Промяна на иконите в трея
Topmost	Най-отгоре
Translated to English by Igor Nys, 2007	Преведено на Български от Tragedy @ SoftVisia.com
Transparency	Прозрачност
Tray Icon GUID	GUID на иконата в трея
Tray Icon	Икона в трея
Tray	Трей
TrayApp	Приложение в трея
TrayIt! &Application ...	TrayIt! приложение...
TrayIt! Application -- Please Wait	TrayIt! приложение -- моля, изчакайте
TrayIt! Application Options	Настройки на TrayIt!
TrayIt! by Igor Nys	TrayIt! от Igor Nys
TrayIt! creates an icon in System Tray and hides the minimized window from the taskbar. There are different ways to use TrayIt!:	TrayIt! създава икона в системния трей и скрива минимизирания прозорец от таскбара. Има различни начини, по които да използвате TrayIt!:
TrayIt! is checking notifications from other applications ...	TrayIt! следи за известяване от други приложения...
TrayIt! Minimizing Options	Настройки за минимизиране на TrayIt!
TrayIt! will be uninstalled and all settings will be removed.	TrayIt! ще бъде деинсталиран и всички настройки ще бъдат премахнати.
Uncheck the line to remove the shell icons	Махнете отметката, за да премахнете всички икони от shell-a
Use path below for the Tray Icon	Използване на пътя по-долу за иконата в трея
Use profile name as a tooltip for the tray icon	Използване на името на профила като подсказка за иконата в трея
Use Single-click on the tray icon	Използване на единично кликване върху иконата в трея
Welcome to TrayIt!	Добре дошли в TrayIt!
Window attributes	Свойства на прозореца
Window complexity	Сложност на прозореца
Window Options	Настройки на прозореца
Windows	Прозорци
Wrong GUID format	Грешен формат на GUID
You can select and import profiles for the most common applications from the list above. The list includes only the applications that requere a special handling. 	Можете да изберете и да внесете профили за най-често срещаните приложения от списъка по-горе. Този списък включва само приложения, които изискват специално управление.
