&About ...	&Acerca de ...
TrayIt! creates an icon in System Tray and hides the minimized window from the taskbar. There are different ways to use TrayIt!:	TrayIt! crea un icono en la bandeja del sistema y esconde las ventanas minimizadas de la barra de tareas. Hay diferentes formas de usar TrayIt!:
TrayIt! is checking notifications from other applications ...	TrayIt! está comprobando las notificaciones de otras aplicaciones
TrayIt! Minimizing Options	Opciones de minimización de TrayIt!
TrayIt! will be uninstalled and all settings will be removed.	Se desinstalará TrayIt! y se borrará la configuración
Uncheck the line to remove the shell icons	Desmarca la línea para quitar los iconos del sistema.
Use path below for the Tray Icon	Usar la ruta inferior para buscar el icono de la bandeja
Use profile name as a tooltip for the tray icon	Usar el nombre del perfil como sugerencia en el icono de la bandeja
Use Single-click on the tray icon	Usar un solo click en el botón de la bandeja
Welcome to TrayIt!	Bienvenido a TrayIt!
Window attributes	Atributos de la ventana
Window complexity	Complejidad de la ventana
Window Options	Opciones de la ventana
Windows	Ventanas
Wrong GUID format	Formato GUID incorrecto
You can select and import profiles for the most common applications from the list above. The list includes only the applications that requere a special handling. 	Puedes seleccionar e importar perfiles de la lista de arriba para las aplicaciones más frecuentes. La lista incluye solo las aplicaciones que necesitan un manejo especial.
