&About ...	über...
Exit TrayIt!, are you sure?	TrayIt! beenden, sind Sie sicher?
Export &Settings	Einstellungen exportieren
Extras	Extras
File	Datei
Find Window	Fenster ermitteln
For the latest version of TrayIt! visit  http://www.trayit.com	Aktualisierungen finden Sie unter http://www.trayit.com
Group similar tray icons for each application	Ähnliche Symbole aller Anwendungen gruppieren
Grouping	Gruppieren
Groups	Gruppen
Handle SDI type applications like Excel, PowerPoint or MS Project	"SDI"-Anwendungen wie Excel, PowerPoint oder MS Project behandeln
Help file not found!	Hilfedatei fehlt!
Help!	Hilfe!
Hide application from the Taskbar all the time, keep tray icon only	Anwendung nie in der Taskleiste, sondern allein im Infobereich anzeigen
Hold <Shift> instead of <Ctrl> minimizing a window to the tray	<Shift> statt <Ctrl> zum Minimieren in den Infobereich
Hold the left mouse key when dragging the Finder Tool over the target window	Fenster finden: linke Maustaste drücken und über das Zielfenster ziehen
Icon GUID	GUID-Symbol
Invalid Window	Ungültiges Fenster
Load TrayIt! at Startup	TrayIt! beim Windowsstart aufrufen
Lock (preserve) settings when changing 'Place in System Tray' status.	Einstellungen beim Ändern des Status 'im Infobereich ablegen' sperren (schützen).
Make window layered to enable transparency	Fenster als "layered" definieren, um Transparenz zu ermöglichen
Make window topmost and always visible	Fenster als oberstes und immer sichtbar definieren
Match pattern below with the window class name 	Übereinstimmung des Fensterklassennamens mit folgendem Muster
Match pattern below with the window title when creating a Tray icon	Übereinstimmung des Fensternamens mit folgendem Muster
Maximize	Maximieren
Minimize when in Foreground, activate when in Background	Minimieren, wenn im Vordergrund, aktivieren, wenn im Hintergrund
Minimize window on creation / when TrayIt! is started	Fenster beim Öffnen und TrayIt!-Start minimieren
Minimize	Minimieren
Miscellaneous	Verschiedenes
Modify Application Options	Optionen der Anwendung ändern
More	mehr
Name as it appears in the profile list	Name wie in der Profilliste
No profiles stored	Keine Profile angelegt
Only create Tray Icon for windows having children	Symbole nur für Child-Fenster
Pattern matches a substring in the window title. Patterns are not case sensitive.  '*' and '?' wildcards are allowed. '^' as a first symbol inverts the pattern.  '|' separates the alternatives.	Muster entspricht Teilstring des Fensternamens (keine Groß/Klein- Unterscheidung), Platzhalter: '*' und '?'. Musterumkehrung mit '^' als 1. Zeichen, '|' trennt Alternativen.
Place In System Tray!	Im Infobereich ablegen
Place in System &Tray	Im Infobereich ablegen
Please note that context menu will work only for the standard minimize icon and will not pop-up if the program use skins like MS Media player.	Das Kontextmenue erscheint nur bei standardgerecht erzeugten Symbolen (nicht bei Programmen, die Skins wie der MS Mediaplayer verwenden).
Please restart TrayIt! to activate new settings.	TrayIt! neu starten, um geänderte Einstellungen zu aktivieren.
Please wait .... Initialization in progress	Bitte warten .... Initialisierung läuft
Profile	Profil
Profile(s)	Profil(e)
Profiles List	Liste der Profile
Profiles	Profile
Quick Minimize	Schnelles Minimieren
Refresh &Window List	Liste der Fenster aktualisieren
Refresh Icons	Symbole aktualisieren
Refresh Profiles	Profile aktualisieren
Refresh	Aktualisieren
Safe mode - use an alternative slow algorithm to increase compatibility	Sicherer Modus (langsamer Kompatibilitäts-Algorithmus)
Select a new GUID for the Tray Icon     Neue GUID des Tay Symbols wählen
Select Profiles to Import	Zu importierendes Profil wählen
Set compatibility mode for the older versions of Windows 95	Kompatibilitätsmodus (Win95) setzen
Set window attributes on creation / when TrayIt! is started	Beim Anlegen oder TrayIt!-Start Win-Attribute setzen
Shell Icons List	Liste der Shellsymbole
Shell Icons	Shellsymbole
ShellIcons	Shellsymbole
Show Currently Active Windows	Aktives Fenster anzeigen
Show Profile List	Liste der Profile darstellen
Show System Tray Icon in minimized state only	Symbol im Infobereich nur zeigen, wenn minimiert
Show window handler in tooltips and listview	Fenster-Routine in Sprechblasen und als Liste anzeigen
Standard definition file not found!	Standard Definitions-Datei nicht gefunden!
Startup	Start
Support Visual Styles on Windows XP	unter Win XP visuelle Stile unterstützen
System will return to the standard Windows (c) behavior.	Rückkehr zu Win-Standard-Einstellungen.
The profiles will appear in the disabled state. You will need to go to the 'Profiles' dialog to enable it.	Profile werden 'inaktiv' importiert und können im Dialog 'Profile' aktiviert werden
The required message hook notifications are missing. Try to reboot Windows!	Erforderliche "Message Hook" Benachrichtigung fehlt. Bitte Windows neu starten.
Title Filtering	Filtern nach Namen
Toggle Profile	Profil umschalten
Toggle Tray Icons	Wechsel zwischen aktiv und inaktiv
Topmost	Fensterposition
Translated to English by Igor Nys, 2007	übersetzt: Dr. Klaus Zimmermann (TrayIt! V4.6.5.5, 18.07.2007)
Transparency	Transparenz
Tray Icon GUID	GUID des Symbols im Infobereich
Tray Icon	Symbol im Infobereich
Tray	Infobereich
TrayApp	Tray-Anwendung
TrayIt! &Application ...	TrayIt! Hauptfenster
TrayIt! Application -- Please Wait	TrayIt! -- Bitte warten
TrayIt! Application Options	TrayIt! Optionen der Anwendung
TrayIt! by Igor Nys	TrayIt! entwickelt von Igor Nys
TrayIt! creates an icon in System Tray and hides the minimized window from the taskbar. There are different ways to use TrayIt!:	Um minimierte Fenster als Symbol im Infobereich statt in der Taskleiste anzuzeigen, gibt es in TrayIt! 3 Möglichkeiten:
TrayIt! is checking notifications from other applications ...	TrayIt! prüft Benachrichtungen anderer Anwendungen ...
TrayIt! Minimizing Options	TrayIt! Optionen zum Minimieren
TrayIt! will be uninstalled and all settings will be removed.	TrayIt! wird deinstalliert, alle Einstellungen werden entfernt.
Uncheck the line to remove the shell icons	Aktivieren, um Shellsymbole auszublenden
Use path below for the Tray Icon	Symbole aus Pfad auslesen
Use profile name as a tooltip for the tray icon Profilnamen als Sprechblase der Symbole
Use Single-click on the tray icon	mit Einzelclick auf Symbol aufrufen
Welcome to TrayIt!	Willkommen bei TrayIt!
Window attributes	Attribute des Fensters
Window complexity	Komplexizität des Fensters
Window Options	Einstellungen des Fensters
Windows	Fenster
Wrong GUID format	Falsches GUID Format
You can select and import profiles for the most common applications from the list above. The list includes only the applications that requere a special handling. 	Auswahl wichtiger und gängiger Profile mit Voreinstellungen für Anwendungen mit spezieller Bedienung.
&Select Language	Sprache wählen
Tray Icon GUID	Infobereich GUID
Select a new GUID for the Tray Icon:	neue GUID für Infobereich wählen:
Use profile name as a tooltip for the tray icon	Profilnamen als Sprechblase verwenden
Exact match with the windows class name is used by default. If pattern matching is active,  '*' and '?' wildcards are allowed in the class name. 	Standard: Genaue Übereinstimmung mit Fensterklassennamen (hier sind '*' und '?' als Platzhalter in Klassennamen erlaubt)
1. You can temporarily put any window in the system tray by keeping down the <Shift> button  when minimizing the window.	1. Zum einmaligen Ablegen von Fenstern im Infobereich <Ctrl> (optional <Shift>)-Taste beim Minimieren von Fenstern drücken.
&Cancel	Abbrechen
Cancel	Abbrechen
Place in System Tray!	im Infobereich ablegen
Enable compatibility mode supporting 64-bit Windows	Kompatibilitätsmodus für Win-64Bit aktivieren
Trancparency	Transparenz
