&About ...	(1)&About ...
Show System Tray Icon in minimized state only	(126)Show System Tray Icon in minimized state only
Show window handler in tooltips and listview	(127)Show window handler in tooltips and listview
Standard definition file not found!	(128)Standard definition file not found!
Startup	(129)Startup
Support Visual Styles on Windows XP	(130)Support Visual Styles on Windows XP
System will return to the standard Windows (c) behavior.	(131)System will return to the standard Windows (c) behavior.
The profiles will appear in the disabled state. You will need to go to the 'Profiles' dialog to enable it.	(132)The profiles will appear in the disabled state. You will need to go to the 'Profiles' dialog to enable it.
The required message hook notifications are missing. Try to reboot Windows!	(133)The required message hook notifications are missing. Try to reboot Windows!
Title Filtering	(134)Title Filtering
Toggle Profile	(135)Toggle Profile
Toggle Tray Icons	(136)Toggle Tray Icons
Topmost	(137)Topmost
Translated to English by Igor Nys, 2007	(138)Translated to English by Igor Nys, 2007
Transparency	(139)Transparency
Tray Icon GUID	(140)Tray Icon GUID
Tray Icon	(141)Tray Icon
Tray	(142)Tray
TrayApp	(143)TrayApp
TrayIt! &Application ...	(144)TrayIt! &Application ...
TrayIt! Application -- Please Wait	(145)TrayIt! Application -- Please Wait
TrayIt! Application Options	(146)TrayIt! Application Options
TrayIt! by Igor Nys	(147)TrayIt! by Igor Nys
TrayIt! creates an icon in System Tray and hides the minimized window from the taskbar. There are different ways to use TrayIt!:	(148)TrayIt! creates an icon in System Tray and hides the minimized window from the taskbar. There are different ways to use TrayIt!:
TrayIt! is checking notifications from other applications ...	(149)TrayIt! is checking notifications from other applications ...
TrayIt! Minimizing Options	(150)TrayIt! Minimizing Options
TrayIt! will be uninstalled and all settings will be removed.	(151)TrayIt! will be uninstalled and all settings will be removed.
Uncheck the line to remove the shell icons	(152)Uncheck the line to remove the shell icons
Use path below for the Tray Icon	(153)Use path below for the Tray Icon
Use profile name as a tooltip for the tray icon	(154)Use profile name as a tooltip for the tray icon
Use Single-click on the tray icon	(155)Use Single-click on the tray icon
Welcome to TrayIt!	(156)Welcome to TrayIt!
Window attributes	(157)Window attributes
Window complexity	(158)Window complexity
Window Options	(159)Window Options
Windows	(160)Windows
Wrong GUID format	(161)Wrong GUID format
You can select and import profiles for the most common applications from the list above. The list includes only the applications that requere a special handling. 	(162)You can select and import profiles for the most common applications from the list above. The list includes only the applications that requere a special handling. 
