&About ...	Over...
Exact match with the windows class name is used by default. If pattern matching is active,  '*' and '?' wildcards are allowed in the class name. 	Normaal wordt de windows class naam gebruikt. '*' en '?' wildcards toegelaten in de classnaam als filteren volgens class actief is.
Exit TrayIt!, are you sure?	TrayIt afsluiten! Bent u zeker?
Export &Settings	Exporteer In&stellingen
Extras	Extra
File	Bestand
Find Window	Venster zoeken
For the latest version of TrayIt! visit  http://www.trayit.com	De laatste versie van TrayIt! kan gevonden worden op http://www.trayit.com
Group similar tray icons for each application	Groepeer gelijkaardige iconen voor elke applicatie
Grouping	Groepering
Groups	Groepen
Handle SDI type applications like Excel, PowerPoint or MS Project	Behandel zoals SDI-applicaties (bv. Excel, PowerPoint, MS Project)
Help file not found!	Help-bestand niet gevonden!
Help!	Help!
Hide application from the Taskbar all the time, keep tray icon only	Dit programma nooit op taakbalk weergeven; enkel het systeembalk-icoon behouden
Hold <Shift> instead of <Ctrl> minimizing a window to the tray	<Shift> i.p.v. <Ctrl> vasthouden om een venster te minimaliseren
Hold the left mouse key when dragging the Finder Tool over the target window	Houd de linkermuisknop ingedrukt en sleep de Finder Tool over het gewenste venster
Icon GUID	Icoon GUID
Invalid Window	Ongeldig venster
Load TrayIt! at Startup	Laad TrayIt! bij het opstarten van de computer
Lock (preserve) settings when changing 'Place in System Tray' status.	Behoud de instelling bij het veranderen van de 'Plaats in de systeembalk'-status.
Make window layered to enable transparency	Maak het venster gelaagd om transparantie toe te laten
Make window topmost and always visible	Het programmavenster steeds op de voorgrond plaatsen
Match pattern below with the window class name 	Synchroniseer onderstaande tekst met de titel in het applicatievenster
Match pattern below with the window title when creating a Tray icon	Als de titel onderstaande tekst bevat wordt deze naar de systeembalk geminimaliseerd
Maximize	Maximaliseren
Minimize when in Foreground, activate when in Background	Minimaliseer indien in de voorgrond, activeer indien in de achtergrond
Minimize window on creation / when TrayIt! is started	Minimaliseer het venster bij creatie / als TrayIt! gestart wordt
Minimize	Minimaliseren
Miscellaneous	Overige
Modify Application Options	trayIt! opties
More	Uitgebreid
Name as it appears in the profile list	Naam die in de profiellijst voorkomt
No profiles stored	Geen profielen opgeslagen
Only create Tray Icon for windows having children	Alleen systeembalk-iconen aanmaken voor vensters met kinderen
Pattern matches a substring in the window title. Patterns are not case sensitive.  '*' and '?' wildcards are allowed. '^' as a first symbol inverts the pattern.  '|' separates the alternatives.	Deze niet-hoofdlettergevoelige tekst komt overeen met het eerste deel van de naam van het venster. '*' en '?' wildcards zijn toegelaten. '^' als eerste symbool maakt dat u het einde van de string kan geven.  '|' scheidt verschillende namen.
Place in System &Tray	Minimaliseer naar sys&teembalk
Place in System Tray!	Minimaliseer naar systeembalk!
Please note that context menu will work only for the standard minimize icon and will not pop-up if the program use skins like MS Media player.	Het contextmenu zal alleen werken voor standaardminimalisatie-iconen. Het komt niet voor bij programma's met skins (bv. MS Media player).
Please restart TrayIt! to activate new settings.	Herstart TrayIt! om de nieuwe instellingen te activeren.
Please waitt .... Initialization in progress	Even geduld ... Initialisatie is bezig
Profile	Profiel
Profile(s)	Profiel(en)
Profiles List	Profiellijst
Profiles	Profielen
Quick Minimize	Snel minimaliseren
Refresh &Window List	taakbalklijst verversen
Refresh Icons	Ververs Iconen
Refresh Profiles	Ververs Profielen
Refresh	Verversen
Safe mode - use an alternative slow algorithm to increase compatibility	Veilige modus - gebruik een trager algoritme met betere compatibiliteit
Select a new GUID for the Tray Icon:	Kies een nieuwe GUID voor het Tray Icoon:
Select Profiles to Import	Te Importeren Profielen
Enable compatibility mode supporting 64-bit Windows	Compatibiliteitsmodus met 64-bit Windows toelaten
Set window attributes on creation / when TrayIt! is started	Zet de venster-instellingen bij creatie / als TrayIt! gestart wordt
Shell Icons List	Iconen in de systeembalk
Shell Icons	Systeembalk-iconen
ShellIcons	Systeembalk-iconen
Show Currently Active Windows	Toon actieve vensters
Show Profile List	Profiellijst
Show System Tray Icon in minimized state only	Toon systeembalk-icoon alleen in geminimaliseerde staat
Show window handler in tooltips and listview	Toon venster handler in de tooltips and en lijstoverzicht
Standard definition file not found!	Standaard definitie bestand niet gevonden!
Startup	Opstarten
Support Visual Styles on Windows XP	Ondersteun Visuele Stijlen op Windows XP
System will return to the standard Windows (c) behavior.	Systeem zal terugkeren naar het standaard Windows(c) gedrag.
The profiles will appear in the disabled state. You will need to go to the 'Profiles' dialog to enable it.	De profielen zullen in uitgeschakelde staat verschijnen. Om ze te activeren moet u naar het menu 'Bewerken > Profielen' gaan.
The required message hook notifications are missing. Try to reboot Windows!	De vereiste boodschappen waarschuwingen zijn onvindbaar. Probeer om Windows te herstarten!
Title Filtering	Filteren van de Titel
Toggle Profile	Wissel profiel
Toggle Tray Icons	Wissel systeembalk-iconen
Topmost	Bovenaan
Translated to English by Igor Nys, 2007	Vertaald naar het Nederlands door Bert Van Hoofstat, 2007
Transparency	Transparantie
Tray Icon GUID	Tray Icoon GUID
Tray Icon	Icoon
Tray	Systeembalk
TrayApp	SysteembalkApp
TrayIt! &Application ...	TrayIt! &Applicatie ...
TrayIt! Application -- Please Wait	TrayIt! Applicatie -- Een ogenblik, a.u.b.
TrayIt! Application Options	TrayIt! Opties
TrayIt! by Igor Nys	TrayIt! - geschreven door Igor Nys
TrayIt! creates an icon in System Tray and hides the minimized window from the taskbar. There are different ways to use TrayIt!:	TrayIt! stuurt een geminimaliseerd venster als icoon naar de systeembalk i.p.v. de taakbalk. TrayIt! kan als volgt gebruikt worden:
TrayIt! is checking notifications from other applications ...	TrayIt! controleert de informatie van andere applicaties ...
TrayIt! Minimizing Options	Opties voor Minimalisering
TrayIt! will be uninstalled and all settings will be removed.	TrayIt! zal gedeïnstalleerd worden en alle instellingen zullen verwijderd worden.
Uncheck the line to remove the shell icons	Vink de iconen uit voor de systeembalk-iconen die u wil verbergen
Use path below for the Tray Icon	Gebruik het onderstaande pad voor het Icoon in de systeembalk:
Use profile name as a tooltip for the tray icon	Gebruik de profielnaam als hulptekst in de systeembalk
Use Single-click on the tray icon	Eenmaal klikken op het tray icoon
Welcome to TrayIt!	Welkom bij TrayIt!
Window attributes	Venster attributen
Window complexity	Complexheid van het venster
Window Options	Venster opties
Windows	Vensters
Wrong GUID format	Fout GUID-formaat
You can select and import profiles for the most common applications from the list above. The list includes only the applications that requere a special handling. 	Voor de meeste programma's kan u profielen kiezen en importeren uit de bovenstaande lijst. De lijst bevat alleen applicaties die een speciale behandeling vereisen. 
