&About ...	&Sobre ...
Extras	Extras
File	Arquivo
Find Window	Procurar Janela
For the latest version of TrayIt! visit  http://www.trayit.com	Versão mais atual do TrayIt! no site:  http://www.trayit.com
Group similar tray icons for each application	Agrupar ícones semelhantes no tray para cada programa
Grouping	Agrupamento
Groups	Grupos
Handle SDI type applications like Excel, PowerPoint or MS Project	Lidar com programas do tipo SDI. Por exemplo: Excel, PowerPoint ou MS Project
Help file not found!	Arquivo de ajuda não encontrado!
Help!	Ajuda!
Hide application from the Taskbar all the time, keep tray icon only	Esconder janela da Barra de Tarefas sempre, mantendo ela no Tray
Hold <Shift> instead of <Ctrl> minimizing a window to the tray	Segurar <Shift> ao invés de <Ctrl> para minimizar uma janela para o tray
Hold the left mouse key when dragging the Finder Tool over the target window	Segure o botão esquerdo do mouse enquanto arrast a Ferramenta de Busca até a janela alvo
Icon GUID	Ícone da GUID
Invalid Window	Janela Inválida
Load TrayIt! at Startup	Carregar TrayIt! na inicialização do Windows
Lock (preserve) settings when changing 'Place in System Tray' status.	Travar (preservar) as configurações quando mudar o estado de 'Colocar no Tray'.
Make window layered to enable transparency	Fazer que com que a janela tenha camadas para ativar transparência
Make window topmost and always visible	Fazer com que janela fique sempre no topo e acima de todas
Match pattern below with the window class name 	Corresponder máscara abaixo com o nome da classe 
Match pattern below with the window title when creating a Tray icon	Corresponder máscara abaixo com o título da janela ao criar o ícone no Tray
Maximize	Maximizar
Minimize when in Foreground, activate when in Background	Minimizar quando em primeiro plano, ativar quando em plano de fundo
Minimize window on creation / when TrayIt! is started	Minimizar janela ao criar / quando o TrayIt! é iniciado
Minimize	Minimizar
Miscellaneous	Diversas
Modify Application Options	Modificar Opções do Programa
More	Mais
Name as it appears in the profile list	O nome que vai aparecer na lista de perfis
No profiles stored	Nenhum perfil salvo
Only create Tray Icon for windows having children	Somente criar ícone no Tray para janelas com sub-janelas
Pattern matches a substring in the window title. Patterns are not case sensitive.  '*' and '?' wildcards are allowed. '^' as a first symbol inverts the pattern.  '|' separates the alternatives.	A correspondência de máscara é usada no título da janela. Elas não diferenciam maiúsculo e minúsculo.  Coringas '*' e '?' são permitidos. Usado '^' como primeiro símbolo inverte a máscara.  '|' separa as alternativas.
Place in System &Tray	Colocar no &Tray
Place in System Tray!	Colocar no Tray!
Please note that context menu will work only for the standard minimize icon and will not pop-up if the program use skins like MS Media player.	Tenha em mente que o menu de contexto só vai funcionar para o ícone "Minimizar" padrão e não vai funcionar caso o programa use skins. Ex: Windows Media Player.
Please restart TrayIt! to activate new settings.	Por favor reinicie o TrayIt! para ativar as novas configurações.
Please waitt .... Initialization in progress	Aguarde .... inicialização em progresso
Profile	Perfil
Profile(s)	Perfil(is)
Profiles List	Lista de Perfis
Profiles	Perfis
Quick Minimize	Minimizamento Rápido
Refresh &Window List	Atualizar lista de &Janelas
Refresh Icons	Atualizar Ícones
Refresh Profiles	Atualizar Perfis
Refresh	Atualizar
Safe mode - use an alternative slow algorithm to increase compatibility	Modo seguro - usa um algoritmo lento para aumentar a compatibilidade
Select a new GUID for the Tray Icon:	Selecione uma nova GUID para o ícone no Tray:
Select Profiles to Import	Selecione os Perfis para importar
Enable compatibility mode supporting 64-bit Windows	Ativar modo de compatibilidade suportando Windows do tipo 64-bits
Set window attributes on creation / when TrayIt! is started	Usar atributos da janela na criação / quando o TrayIt! é iniciado
Shell Icons List	Lista de Ícones do Sistema
Shell Icons	Ícones do Sistema
ShellIcons	ÍconesDoSistema
Show Currently Active Windows	Mostrar janelas ativas nesse momento
Show Profile List	Mostrar Lista de Perfis
Show System Tray Icon in minimized state only	Mostrar ícone no Tray somente no estado minimizado
Show window handler in tooltips and listview	Mostrar handler nas dicas de ferraments e visualizações em lista
Standard definition file not found!	Arquivo de definições padrão não encontrado!
Startup	Inicialização
Support Visual Styles on Windows XP	Suportar Estilos Visuais no Windows XP
System will return to the standard Windows (c) behavior.	O sistema irá retornar ao comportamento padrão do Windows (c).
The profiles will appear in the disabled state. You will need to go to the 'Profiles' dialog to enable it.	Os perfis vão aparecer em estado inativo. Você precisa ir até o diálogo 'Perfis' para ativa-los.
The required message hook notifications are missing. Try to reboot Windows!	O interceptador de mensagens requerido não foi encontrado. Tente reiniciar o Windows!
Title Filtering	Filtro de Título
Toggle Profile	Ativar/Desativar Perfil
Toggle Tray Icons	Ativar/Desativar Ícones no Tray
Topmost	Sempre no topo
Translated to English by Igor Nys, 2007	Traduzido para Português (Brasil) por Bruno Barbieri, 2007
Transparency	Transparência
Tray Icon GUID	GUID do Ícone do Tray
Tray Icon	Ícone do Tray
Tray	Tray
TrayApp	ProgramaDoTray
TrayIt! &Application ...	&Janela principal do TrayIt! ...
TrayIt! Application -- Please Wait	Programa TrayIt! -- Aguarde
TrayIt! Application Options	Opções do programa TrayIt!
TrayIt! by Igor Nys	TrayIt! por Igor Nys
TrayIt! creates an icon in System Tray and hides the minimized window from the taskbar. There are different ways to use TrayIt!:	O TrayIt! cria uma ícone no Tray e esconde a janela da Barra de Tarefas. Há diferentes formas de usar o TrayIT!:
TrayIt! is checking notifications from other applications ...	O TrayIt! está checando notificações de outros programas ...
TrayIt! Minimizing Options	Opções de Minimização do TrayIt!
TrayIt! will be uninstalled and all settings will be removed.	O TrayIt! será desinstalado e todas as configurações serão removidas.
Uncheck the line to remove the shell icons	Desmarque a linha para remover os ícones do sistema
Use path below for the Tray Icon	Use o caminho abaixo para o Ícone do Tray
Use profile name as a tooltip for the tray icon	Use o nome do perfil como uma dica de ferramenta no ícone do tray
Use Single-click on the tray icon	Usar único clique em ícones do tray
Welcome to TrayIt!	Bem-vindo ao TrayIt!
Window attributes	Atributos da janela
Window complexity	Complexidade da janela
Window Options	Opções da Janela
Windows	Janelas
Wrong GUID format	Formato icorreto de GUID
You can select and import profiles for the most common applications from the list above. The list includes only the applications that requere a special handling. 	Você pode selecionar ou importar perfis para os programas mais comuns na lista abaixo. A lista apens inclui os programas que necessitam de um gerenciamento especial. 
