&About ...	O programu
Name as it appears in the profile list	Nazvat profil stejnì, jako v seznamu profilù
No profiles stored	Není uložen profil
Only create Tray Icon for windows having children	Jen vytvoøit Tray ikonu pro windows dìtí
Pattern matches a substring in the window title. Patterns are not case sensitive.  '*' and '?' wildcards are allowed. '^' as a first symbol inverts the pattern.  '|' separates the alternatives.	Upravte odpovídající podøetìzec v názvu okna. Vzory nerozlišují velká èi malá písmena.  '*' a '?' pro zkratky jsou povoleny. '^' jako první znak, obrátí vzor.  '|' (separátor) oddìlí alternativy.
Place in System &Tray	Umístit do Systémové &lišty
Place in System Tray!	Umístit do Systémové lišty!
Please note that context menu will work only for the standard minimize icon and will not pop-up if the program use skins like MS Media player.	Prosím všimnìte si, že pokud program používá rùzné vzhledy, jako tøeba MS Media player, v kontextové nabídce lze pracovat jen pro standardní minimalizaci a pro nevyskakovací okna.
Please restart TrayIt! to activate new settings.	Prosím restartujte TrayIt! pro aktivaci nových nastavení.
Please waitt .... Initialization in progress	Prosím vyèkejte .... probíhá inicializace
Profile	Profil
Profile(s)	Profil(y)
Profiles List	Seznam profilù
Profiles	Profily
Quick Minimize	Rychlá minimalizace
Refresh &Window List	Znovu nahrát &seznam oken
Refresh Icons	Znovu nahrát Ikony
Refresh Profiles	Znovu nahrát profily
Refresh	Znovu nahrát
Safe mode - use an alternative slow algorithm to increase compatibility	Bezpeèný režim - použít alternativní pomalejší algoritmus pro zvýšení kompatibility
Select a new GUID for the Tray Icon:	Vyberat nové GUID pro tray ikonu:
Select Profiles to Import	Import vybraných profilù
Enable compatibility mode supporting 64-bit Windows	Umožnit podporu kompatibility režimu 64-bit Windows
Set window attributes on creation / when TrayIt! is started	Nastavit atributy oken pøi vytvoøení / spuštìní TrayIt!
Shell Icons List	Seznam spuštìných ikon
Shell Icons	Spuštìná ikona
ShellIcons	Spuštìné ikony
Show Currently Active Windows	Zobrazit aktuální aktivní okna
Show Profile List	Zobrazí seznam profilù
Show System Tray Icon in minimized state only	V minimalizovaném stavu nezobrazovat ikonu v systray
Show window handler in tooltips and listview	Zobrazit okno manažera v nástrojových tipech a v seznamu zobrazených
Standard definition file not found!	Standardní definièní soubor nenalezen!
Startup	Spuštìní
Support Visual Styles on Windows XP	Podpora vizuálních stylù Windows XP
System will return to the standard Windows (c) behavior.	Systém se vrátí do standardního režimu Windows (c).
The profiles will appear in the disabled state. You will need to go to the 'Profiles' dialog to enable it.	Profily se objeví jako vypnuté. Je nutné aby jste v 'Upravit' -> 'Profily' profil zapnuly.
The required message hook notifications are missing. Try to reboot Windows!	Požadované oznámení není k dispozici. Pokuste se restartovat Windows!
Title Filtering	Úvodní filtrování
Toggle Profile	Vypnutí profilu
Toggle Tray Icons	Vypnutí Tray ikony
Topmost	Vždy na vrchu
Translated to English by Igor Nys, 2007	Do èeštiny pøeložil Damned, e-mail: bartosfr@seznam.cz, 2007
Trancparency	Prùhlednost
Transparency	Prùhlednost
Tray Icon GUID	GUID Tray ikony
Tray Icon	Tray ikona
Tray	Tray
TrayApp	TrayAplikace
TrayIt! &Application ...	Zobrazit okno aplikace TrayIt!
TrayIt! Application -- Please Wait	AplikujiTrayIt! -- Prosím èekejte
TrayIt! Application Options	Nastavení aplikace TrayIt!
TrayIt! by Igor Nys	O TrayIt! od Igora Nyse
TrayIt! creates an icon in System Tray and hides the minimized window from the taskbar. There are different ways to use TrayIt!:	TrayIt! skryje minimalizované okno z hlavního panelu a vytvoøí ikonu v Systémové lištì. Tam lze rùzným zpùsobem použit TrayIt!:
TrayIt! is checking notifications from other applications ...	TrayIt! èeká na zprávy z dalších aplikací
TrayIt! Minimizing Options	TrayIt! nastavení minimalizace
TrayIt! will be uninstalled and all settings will be removed.	TrayIt! bude nyní odinstalován a všechny nastavené hodnoty budou odstranìny.
Uncheck the line to remove the shell icons	Není vybrán žádný øádek pro vypnutí zobrazené ikony
Use path below for the Tray Icon	Použít cestu zobrazenou níže pro tray ikonu
Use profile name as a tooltip for the tray icon	Použít název profilu jako nástrojový tip tray ikony
Use Single-click on the tray icon	Použít jeden klik na tray ikonu
Welcome to TrayIt!	Vítejte v TrayIt!
Window attributes	Atributy oken
Window complexity	Komplikovanost oken
Window Options	Nastavení oken
Windows	Okna
Wrong GUID format	Chybný formát GUID
You can select and import profiles for the most common applications from the list above. The list includes only the applications that requere a special handling. 	Mùžete vybrat a importovat profily pro nejbìžnìjší aplikace ze seznamu nahoøe. Seznam obsahuje jen aplikace které vyžadují zvláštní zacházení. 
